"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Apr-2025","EQ","1,155.20","1,174.10","1,149.90","1,155.20","1,171.00","1,168.90","1,162.42","1,262.60","882.90","14,39,143","1,67,28,82,618.40","72,564"
"28-Apr-2025","EQ","1,146.10","1,162.50","1,145.00","1,155.70","1,154.00","1,155.20","1,155.44","1,262.60","882.90","6,63,435","76,65,62,209.50","45,266"
"25-Apr-2025","EQ","1,160.20","1,165.00","1,130.70","1,161.30","1,149.00","1,155.70","1,153.03","1,262.60","882.90","14,51,946","1,67,41,37,874.00","78,220"
"24-Apr-2025","EQ","1,151.00","1,168.90","1,098.30","1,150.10","1,160.90","1,161.30","1,140.39","1,262.60","882.90","57,66,752","6,57,63,35,414.70","1,93,964"
"23-Apr-2025","EQ","1,143.00","1,156.60","1,132.60","1,136.70","1,145.00","1,150.10","1,144.21","1,262.60","882.90","17,60,325","2,01,41,77,316.40","63,417"
"22-Apr-2025","EQ","1,121.70","1,149.00","1,118.20","1,121.00","1,138.60","1,136.70","1,138.39","1,262.60","882.90","12,31,830","1,40,23,08,326.60","59,611"
"21-Apr-2025","EQ","1,120.20","1,129.50","1,102.40","1,120.20","1,121.70","1,121.00","1,120.22","1,262.60","882.90","6,92,767","77,60,52,201.10","36,968"
"17-Apr-2025","EQ","1,104.00","1,133.80","1,094.50","1,105.90","1,119.00","1,120.20","1,117.53","1,262.60","882.90","15,41,674","1,72,28,61,664.30","79,947"
"16-Apr-2025","EQ","1,094.10","1,108.90","1,086.80","1,103.40","1,106.00","1,105.90","1,099.96","1,262.60","882.90","6,79,360","74,72,70,154.90","34,203"
"15-Apr-2025","EQ","1,108.30","1,111.00","1,094.10","1,097.90","1,102.70","1,103.40","1,101.89","1,262.60","882.90","10,23,355","1,12,76,20,751.60","39,828"
"11-Apr-2025","EQ","1,125.00","1,126.00","1,093.75","1,089.75","1,100.00","1,097.90","1,103.62","1,262.60","882.90","18,88,677","2,08,43,76,151.00","60,151"
"09-Apr-2025","EQ","1,062.00","1,092.95","1,060.05","1,069.75","1,087.55","1,089.75","1,084.48","1,262.60","882.90","22,74,161","2,46,62,72,310.05","84,220"
"08-Apr-2025","EQ","1,056.00","1,073.50","1,044.75","1,047.35","1,067.10","1,069.75","1,060.48","1,262.60","882.90","14,44,712","1,53,20,84,978.80","65,161"
"07-Apr-2025","EQ","1,019.00","1,077.70","1,019.00","1,087.85","1,048.00","1,047.35","1,048.84","1,262.60","882.90","32,00,820","3,35,71,51,617.20","1,33,539"
"04-Apr-2025","EQ","1,065.45","1,095.55","1,062.90","1,071.00","1,088.00","1,087.85","1,087.37","1,262.60","882.90","40,89,261","4,44,65,26,189.00","1,17,334"
"03-Apr-2025","EQ","1,049.90","1,075.25","1,048.10","1,062.70","1,068.65","1,071.00","1,068.54","1,262.60","882.90","15,95,000","1,70,43,22,075.45","56,627"
"02-Apr-2025","EQ","1,018.00","1,073.15","1,015.00","992.25","1,060.80","1,062.70","1,058.24","1,262.60","882.90","87,17,812","9,22,55,01,942.00","2,19,419"
"01-Apr-2025","EQ","1,003.00","1,014.55","989.25","1,001.90","992.40","992.25","999.17","1,262.60","882.90","10,45,548","1,04,46,80,909.70","37,298"
"28-Mar-2025","EQ","975.50","1,015.00","975.00","973.55","1,001.90","1,001.90","1,004.62","1,262.60","882.90","23,13,101","2,32,37,84,218.15","93,268"
"27-Mar-2025","EQ","963.00","980.40","952.50","959.65","977.45","973.55","971.33","1,262.60","882.90","25,85,170","2,51,10,47,793.95","69,685"
